Year,Period,Label,Value,Month,Date,State
2020,M04,2020 Apr,11.1,04,2020-04-01,District of Columbia
2020,M05,2020 May,8.9,05,2020-05-01,District of Columbia
2020,M06,2020 Jun,8.9,06,2020-06-01,District of Columbia
2020,M07,2020 Jul,8.9,07,2020-07-01,District of Columbia
2020,M08,2020 Aug,8.8,08,2020-08-01,District of Columbia
2020,M09,2020 Sep,8.7,09,2020-09-01,District of Columbia
2020,M10,2020 Oct,8.8,10,2020-10-01,District of Columbia
2020,M11,2020 Nov,8.8,11,2020-11-01,District of Columbia
2020,M12,2020 Dec,8.8,12,2020-12-01,District of Columbia
2021,M01,2021 Jan,8.4,01,2021-01-01,District of Columbia
2021,M02,2021 Feb,8.1,02,2021-02-01,District of Columbia
2021,M03,2021 Mar,7.7,03,2021-03-01,District of Columbia
2021,M04,2021 Apr,7.5,04,2021-04-01,District of Columbia
2021,M05,2021 May,7.2,05,2021-05-01,District of Columbia
2021,M06,2021 Jun,7.0,06,2021-06-01,District of Columbia
2021,M07,2021 Jul,6.7,07,2021-07-01,District of Columbia
2021,M08,2021 Aug,6.7,08,2021-08-01,District of Columbia
2021,M09,2021 Sep,6.5,09,2021-09-01,District of Columbia
2019,M01,2019 Jan,3.5,01,2019-01-01,Florida
2019,M02,2019 Feb,3.4,02,2019-02-01,Florida
2019,M03,2019 Mar,3.4,03,2019-03-01,Florida
2019,M04,2019 Apr,3.3,04,2019-04-01,Florida
2019,M05,2019 May,3.3,05,2019-05-01,Florida
2019,M06,2019 Jun,3.2,06,2019-06-01,Florida
2019,M07,2019 Jul,3.3,07,2019-07-01,Florida
2019,M08,2019 Aug,3.3,08,2019-08-01,Florida
2019,M09,2019 Sep,3.2,09,2019-09-01,Florida
2019,M10,2019 Oct,3.2,10,2019-10-01,Florida
2019,M11,2019 Nov,3.2,11,2019-11-01,Florida
2019,M12,2019 Dec,3.2,12,2019-12-01,Florida
2020,M01,2020 Jan,3.3,01,2020-01-01,Florida
2020,M02,2020 Feb,3.3,02,2020-02-01,Florida
2020,M03,2020 Mar,4.9,03,2020-03-01,Florida
2020,M04,2020 Apr,14.0,04,2020-04-01,Florida
2020,M05,2020 May,14.2,05,2020-05-01,Florida
2020,M06,2020 Jun,11.6,06,2020-06-01,Florida
2020,M07,2020 Jul,11.5,07,2020-07-01,Florida
2020,M08,2020 Aug,7.9,08,2020-08-01,Florida
2020,M09,2020 Sep,7.2,09,2020-09-01,Florida
2020,M10,2020 Oct,5.8,10,2020-10-01,Florida
2020,M11,2020 Nov,5.4,11,2020-11-01,Florida
2020,M12,2020 Dec,5.1,12,2020-12-01,Florida
2021,M01,2021 Jan,4.8,01,2021-01-01,Florida
2021,M02,2021 Feb,4.7,02,2021-02-01,Florida
2021,M03,2021 Mar,4.7,03,2021-03-01,Florida
2021,M04,2021 Apr,4.8,04,2021-04-01,Florida
2021,M05,2021 May,4.9,05,2021-05-01,Florida
2021,M06,2021 Jun,5.0,06,2021-06-01,Florida
2021,M07,2021 Jul,5.1,07,2021-07-01,Florida
2021,M08,2021 Aug,5.0,08,2021-08-01,Florida
2021,M09,2021 Sep,4.9,09,2021-09-01,Florida
2019,M01,2019 Jan,3.9,01,2019-01-01,Georgia
2019,M02,2019 Feb,3.8,02,2019-02-01,Georgia
2019,M03,2019 Mar,3.7,03,2019-03-01,Georgia
2019,M04,2019 Apr,3.6,04,2019-04-01,Georgia
2019,M05,2019 May,3.6,05,2019-05-01,Georgia
2019,M06,2019 Jun,3.5,06,2019-06-01,Georgia
2019,M07,2019 Jul,3.5,07,2019-07-01,Georgia
2019,M08,2019 Aug,3.5,08,2019-08-01,Georgia
2019,M09,2019 Sep,3.4,09,2019-09-01,Georgia
2019,M10,2019 Oct,3.3,10,2019-10-01,Georgia
2019,M11,2019 Nov,3.3,11,2019-11-01,Georgia
2019,M12,2019 Dec,3.3,12,2019-12-01,Georgia
2020,M01,2020 Jan,3.3,01,2020-01-01,Georgia
2020,M02,2020 Feb,3.5,02,2020-02-01,Georgia
2020,M03,2020 Mar,3.6,03,2020-03-01,Georgia
2020,M04,2020 Apr,12.5,04,2020-04-01,Georgia
2020,M05,2020 May,9.4,05,2020-05-01,Georgia
2020,M06,2020 Jun,8.4,06,2020-06-01,Georgia
2020,M07,2020 Jul,7.6,07,2020-07-01,Georgia
2020,M08,2020 Aug,7.0,08,2020-08-01,Georgia
2020,M09,2020 Sep,6.5,09,2020-09-01,Georgia
